Id;Address;Longitude;Latitude;CenterDistance;Station;StationDistance;District;Cena;LnCena;CenaM;Nkomnat;Elit;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;God;Tel;Bal
83;Гая, 13;27,560726;53,926769;2723;Площадь Якуба Коласа;1930;Центральный;46500;10,7472075916;1500;1;2;31;3,4339872045;19;2,9444389792;6;1,7917594692;0;0;1963;1;0
84;Я.Коласа, 4;27,585735;53,9181;2352;Площадь Якуба Коласа;274;Советский;59000;10,9852927229;1405;1;2;42;3,7376696183;19;2,9444389792;10;2,302585093;1;1;1957;1;1
85;М.Богдановича, 52;27,566206;53,918827;1861;Площадь Якуба Коласа;1193;Советский;55000;10,9150884642;1852;1;2;29,7;3,3911470458;19,1;2,9496883351;6;1,7917594692;1;1;1961;1;0
86;Брилевская, 3;27,532789;53,87695;3398;Институт Культуры;1126;Октябрьский;68000;11,1272629842;1557;1;2;43,67;3,7766613675;19,3;2,9601050959;10,3;2,3321438952;1;1;1956;1;0
87;пер.Броневой, 6;27,579842;53,904841;1211;Площадь Победы;576;Партизанский;78000;11,2644641057;2091;1;2;37,3;3,6189933266;19,5;2,9704144656;8,5;2,1400661635;0;1;1958;1;0
88;Харьковская, 58;27,513493;53,900326;3175;Молодёжная;956;Фрунзенский;69000;11,1418617836;1345;1;0;51,3;3,9376907522;20,2;3,0056826044;11,2;2,4159137783;0;0;2007;0;1
89;Гаруна, 24;27,446209;53,922994;7913;Каменная Горка;1910;Фрунзенский;56500;10,9419959171;1202;1;2;47;3,8501476017;22;3,0910424534;9;2,1972245773;0;0;2010;0;1
90;Куприянова, 17;27,519431;53,898464;2811;Молодёжная;937;Московский;46000;10,7363966755;1211;2;2;38;3,6375861597;22,1;3,0955776085;7,4;2,0014800002;0;1;1966;1;1
91;Алибегова, 16;27,480668;53,872815;6245;Спортивная;3945;Московский;61500;11,0267924538;1281;1;2;48;3,8712010109;23;3,1354942159;9;2,1972245773;0;0;2005;1;1
92;Корженевского, 1-1;27,497107;53,848122;7363;Институт Культуры;5079;Октябрьский;54500;10,9059559807;1362;2;2;40;3,6888794541;23;3,1354942159;7;1,9459101491;1;0;1900;1;1
93;Почтовая, 1;27,710646;53,945788;10870;Уручье;1503;Первомайский;47000;10,7579028807;1306;2;2;36;3,5835189385;23;3,1354942159;6;1,7917594692;1;1;1970;1;0
94;Я.Коласа, 63;27,602192;53,934811;4476;Парк Челюскинцев;1371;Советский;53000;10,8780471925;1262;2;2;42;3,7376696183;23;3,1354942159;6;1,7917594692;0;1;1963;0;0
95;Лобанка, 81;27,431099;53,887199;8726;Каменная Горка;2195;Фрунзенский;75100;11,2265758378;1336;1;0;56,2;4,0289167569;23,5;3,1570004212;10,3;2,3321438952;0;1;2008;0;1
96;Ломоносова, 10;27,596228;53,932378;4031;Академия наук;1157;Советский;110000;11,6082356448;1630;2;2;67,5;4,2121275979;23,6;3,161246712;25,5;3,2386784522;1;1;1974;1;1
97;Герасименко, 29;27,682762;53,882555;8214;Могилёвская;2377;Заводской;54000;10,8967393255;1360;2;2;39,7;3,6813511877;23,7;3,1654750481;7,2;1,974081026;1;0;1983;1;1
98;Кольцова, 38;27,601267;53,953418;6241;Московская;3296;Советский;54900;10,9132686275;1366;2;2;40,2;3,6938669956;23,7;3,1654750481;6,2;1,8245492921;1;1;1969;1;1
99;Голодеда, 1;27,650917;53,841562;8919;Могилёвская;2710;Заводской;55000;10,9150884642;1447;2;2;38;3,6375861597;24;3,1780538303;6,2;1,8245492921;0;0;1900;1;1
100;пр-т Рокоссовского, 53;27,603782;53,86741;4748;Партизанская;1910;Ленинский;53000;10,8780471925;1359;2;2;39;3,6635616461;24;3,1780538303;6,2;1,8245492921;1;0;1988;1;0
101;Калиновского, 83;27,637676;53,944808;6852;Восток;1434;Первомайский;53700;10,8911682805;1377;2;2;39;3,6635616461;24;3,1780538303;6,2;1,8245492921;0;0;1976;1;1
102;Чорного, 10/а;27,602659;53,925417;3707;Академия наук;439;Первомайский;55000;10,9150884642;1447;2;2;38;3,6375861597;24,2;3,1863526332;5,7;1,7404661748;1;1;1956;0;1
103;Холмогорская, 53;27,652399;53,889529;6095;Партизанская;2169;Партизанский;64000;11,0666383623;1684;1;2;38;3,6375861597;24,6;3,2027464429;7;4,6249728133;0;1;2004;0;0
104;Ванеева, 14;27,613583;53,882895;4013;Тракторный завод;805;Партизанский;85000;11,3504065355;1476;3;2;57,6;4,0535225677;24,7;3,2068032436;24,2;3,1863526332;0;0;1900;0;1
105;Притыцкого, 8;27,50186;53,911116;4049;Пушкинская;355;Фрунзенский;54000;10,8967393255;1216;2;0;44,4;3,7932394694;24,8;3,2108436532;8,2;2,1041341543;1;1;1900;1;1
106;пр-т газ-ты Известия, 15;27,484621;53,866402;6441;Институт Культуры;4254;Ленинский;47000;10,7579028807;603;2;2;78;4,3567088267;25;3,2188758249;11;2,3978952728;0;1;1990;1;1
107;пер. Броневой, 12;27,582034;53,906029;1384;Площадь Победы;571;Партизанский;65000;11,0821425489;1625;2;2;40;3,6888794541;25;3,2188758249;5;1,6094379124;1;1;1967;1;0
108;Калиновского, 101;27,641233;53,943419;6919;Восток;1173;Первомайский;75000;11,2252433925;1645;2;2;45,6;3,8199077165;25;3,2188758249;8;2,0794415417;0;1;1969;1;1
109;Славинского, 7/2;27,635205;53,941002;6446;Восток;1259;Первомайский;54000;10,8967393255;1317;2;2;41;3,7135720667;25;3,2188758249;6;1,7917594692;1;0;1968;1;1
110;Калиновского, 97;27,640245;53,944532;6954;Восток;1312;Первомайский;54000;10,8967393255;1317;2;2;41;3,7135720667;25,5;3,2386784522;6,3;1,8405496334;0;0;1978;1;1
111;Шабаны, 3;27,692096;53,835096;11338;Могилёвская;3196;Заводской;48000;10,7789562899;1171;2;2;41;3,7135720667;26;3,258096538;2;0,6931471806;1;0;1964;1;1
112;Короля, 17;27,539939;53,90317;1439;Фрунзенская;252;Московский;71000;11,170435156;1690;2;2;42;3,7376696183;26;3,258096538;6,4;1,8562979904;0;1;1961;1;0
113;Брилевская, 17;27,530911;53,875384;3611;Институт Культуры;1337;Октябрьский;54000;10,8967393255;1317;2;2;41;3,7135720667;26;3,258096538;6;1,7917594692;0;1;1967;1;1
114;Каховская, 30;27,551258;53,927931;2934;Немига;2473;Центральный;54000;10,8967393255;1286;2;2;42;3,7376696183;26;3,258096538;6;1,7917594692;1;1;1900;1;1
115;Волгоградская, 49;27,611526;53,936455;4999;Парк Челюскинцев;1356;Первомайский;53800;10,8930287461;1312;2;2;41;3,7135720667;26,2;3,2657594108;6;1,7917594692;1;0;1964;1;0
116;Грекова, 3;27,627471;53,867177;5803;Партизанская;919;Заводской;45000;10,7144177688;1184;2;2;38;3,6375861597;27;3,295836866;5;1,6094379124;1;1;1958;1;0
117;Челюскинцев, 5;27,653944;53,86869;7092;Автозаводская;383;Заводской;50000;10,8197782844;1163;2;2;43;3,7612001157;27;3,295836866;6;1,7917594692;1;1;1957;0;0
118;Уманская, 59;27,500377;53,875597;5001;Институт Культуры;2865;Московский;55000;10,9150884642;1279;2;2;43;3,7612001157;27;3,295836866;6;1,7917594692;0;0;1964;1;0
119;Одоевского, 69;27,499443;53,90274;4087;Пушкинская;757;Фрунзенский;53500;10,8874369329;1216;2;0;44;3,7841896339;27;3,295836866;6;1,7917594692;0;0;1900;1;1
120;К.Либкнехта, 94;27,519116;53,894787;2920;Молодёжная;1337;Московский;52000;10,8589989976;1238;2;2;42;3,7376696183;27;3,295836866;5,6;1,7227665977;0;0;1961;1;0
121;Лынькова, 109-2;27,4697;53,928238;6687;Спортивная;2329;Фрунзенский;54900;10,9132686275;1177;2;0;46,66;3,8428872666;27,01;3,2962071678;9,11;2,2093727113;1;0;1984;1;1
122;пр-т Независимости, 85 - Б;27,604546;53,925147;3777;Академия наук;495;Первомайский;131000;11,7829526022;1650;1;2;79,4;4,3744983683;27,7;3,3214324132;17,1;2,8390784635;0;1;2009;0;1
123;Селицкого, 93;27,703603;53,842757;11401;Могилёвская;2872;Заводской;50000;10,8197782844;1064;2;2;47;3,8501476017;28;3,3322045102;7,2;1,974081026;0;0;1990;1;1
124;Жилуновича, 23;27,629923;53,873611;5478;Партизанская;195;Заводской;50000;10,8197782844;1087;2;2;46;3,8286413965;28;3,3322045102;6;1,7917594692;1;0;1966;1;0
125;Плеханова, 32-2;27,612083;53,865175;5274;Партизанская;1613;Заводской;76500;11,2450460198;1471;2;2;52;3,9512437186;28;3,3322045102;9,33;2,2332350149;0;0;1978;1;1
126;пр-т Рокоссовского, 132;27,606801;53,855224;6000;Партизанская;2691;Ленинский;60000;11,0020998412;1277;2;2;47;3,8501476017;28;3,3322045102;7,2;1,974081026;0;0;1974;1;1
127;пр-т Рокоссовского, 49;27,60239;53,867766;4664;Партизанская;1974;Ленинский;65900;11,0958937205;1402;2;2;47;3,8501476017;28;3,3322045102;7;1,9459101491;0;0;1980;1;1
128;Горовца, 34/2;27,611921;53,867448;5072;Партизанская;1455;Ленинский;62000;11,034889664;1127;2;2;55;4,0073331852;28;3,3322045102;9,5;2,2512917986;0;0;1978;1;1
129;Семенова, 24;27,57677;53,870633;3649;Пролетарская;2291;Ленинский;52000;10,8589989976;1209;2;2;43;3,7612001157;28;3,3322045102;6;1,7917594692;0;0;1960;1;0
130;пр-т Газ-ты Звезда, 23;27,471955;53,867028;7073;Кунцевщина;4485;Московский;62000;11,034889664;1319;2;2;47;3,8501476017;28;3,3322045102;7;1,9459101491;0;0;1979;1;1
131;Космонавтов, 13/1;27,466735;53,852467;8335;Кунцевщина;6006;Московский;72000;11,184421398;1371;2;2;52,5;3,9608131696;28;3,3322045102;9,3;2,2300144002;1;0;1987;1;1
132;пр-т Газеты Звезда, 56;27,458004;53,858808;8344;Кунцевщина;5251;Московский;55000;10,9150884642;1122;2;2;49;3,8918202981;28;3,3322045102;7,5;2,0149030205;0;0;1991;1;1
133;Казинца, 76;27,501869;53,850035;7011;Институт Культуры;4731;Октябрьский;54500;10,9059559807;1160;2;2;47;3,8501476017;28;3,3322045102;7;1,9459101491;0;0;1976;1;1
134;Кнорина, 19;27,61343;53,935866;5032;Московская;1261;Первомайский;53000;10,8780471925;1205;2;2;44;3,7841896339;28;3,3322045102;6;1,7917594692;1;0;2010;1;0
135;Логойский тр-т, 19/1;27,611957;53,946371;5895;Московская;2271;Советский;75000;11,2252433925;1531;2;2;49;3,8918202981;28;3,3322045102;9;2,1972245773;0;1;1977;1;1
136;Бельского, 43;27,48277;53,898056;5200;Спортивная;1148;Фрунзенский;70000;11,156250521;1400;2;0;50;3,9120230054;28;3,3322045102;10;2,302585093;1;1;1975;1;1
137;Одоевского, 71;27,499524;53,901859;4082;Пушкинская;854;Фрунзенский;53000;10,8780471925;1233;2;0;43;3,7612001157;28;3,3322045102;6;1,7917594692;1;0;1900;1;0
138;Нововиленская, 24/В;27,540119;53,933375;3738;Фрунзенская;3108;Центральный;50000;10,8197782844;1316;2;2;38;3,6375861597;28;3,3322045102;5;1,6094379124;1;1;1960;1;0
