id,Address,Longitude,Latitude,CenterDistance,Station,StationDistance
180,"М.Богдановича, 112",27.580327,53.933624,3687,Академия наук,1771
181,"Корш-Саблина, 9",27.59099,53.936015,4206,Академия наук,1633
182,"пр-т Пушкина, 85/1",27.500979,53.923063,4607,Пушкинская,1535
183,"Бурдейного, 25",27.44744,53.903838,7494,Кунцевщина,506
184,"Притыцкого, 107",27.430156,53.905239,8629,Каменная Горка,499
185,"Осипенко, 27",27.554752,53.926266,2706,Площадь Якуба Коласа,2219
186,"Коммунистическая, 16",27.567508,53.911025,1040,Площадь Победы,544
187,"бульв. Шевченко, 24",27.556486,53.927968,2877,Площадь Якуба Коласа,2231
188,"Берута, 18",27.503809,53.901297,3803,Пушкинская,1000
189,"Р.Люксембург, 97",27.521883,53.891593,2875,Институт Культуры,1357
190,"Кедышко, 15/а",27.616772,53.93091,4800,Московская,767
191,"Артиллеристов, 18",27.560115,53.883468,2093,Институт Культуры,1326
192,"пер. Уральский, 5",27.604744,53.899997,2818,Тракторный завод,1265
193,"Калиновского, 35",27.624336,53.948973,6606,Московская,2330
194,"Гая, 32",27.562217,53.933815,3505,Площадь Якуба Коласа,2437
195,"Берута, 9-4",27.50795,53.903334,3532,Пушкинская,974
196,"Крупской, 6/а",27.628145,53.859047,6475,Автозаводская,1707
197,"Прушинских, 28",27.585654,53.834766,7662,Партизанская,5353
198,"Авроровская, 8",27.566035,53.861363,4555,Институт Культуры,3219
199,"Волгоградсая, 9",27.622404,53.931864,5149,Московская,535
200,"Волгоградская, 9",27.622404,53.931864,5149,Московская,535
201,"пр-т Независимости, 76",27.604555,53.922231,3567,Академия наук,362
202,"Я.Колас, 63",27.554914,53.906077,621,Немига,71
203,"Бирюзова, 11/а",27.514211,53.91111,3271,Молодёжная,799
204,"Панченко, 74",27.416825,53.892797,9556,Каменная Горка,2042
205,"пр-т Пушкина, 3",27.496515,53.896416,4328,Пушкинская,1447
206,"Гая, 3",27.557348,53.923763,2406,Площадь Якуба Коласа,1935
207,"Каховская, 70",27.560717,53.928742,2942,Площадь Якуба Коласа,2074
208,"Кальварийская, 52",27.512127,53.908533,3330,Молодёжная,785
209,"пр-т Независимости, 60",27.591502,53.918779,2669,Площадь Якуба Коласа,598
210,"Надеждинская, 15/2",27.565963,53.878134,2696,Первомайская,1770
211,"пр-т Рокоссовского, 109",27.612236,53.858325,5894,Партизанская,2209
212,"Якубовского, 21",27.457357,53.901175,6844,Кунцевщина,575
213,"Казинца, 78",27.502219,53.848515,7139,Институт Культуры,4863
214,"Калиновского, 57",27.630471,53.946779,6679,Восток,1911
215,"Бельского, 27",27.482681,53.89987,5192,Спортивная,947
216,"Голодеда, 39-2",27.623725,53.83763,8248,Автозаводская,3827
217,"пр-т Независимости, 16",27.555013,53.898193,638,Купаловская,526
218,"Рокоссовского, 91",27.610286,53.860332,5638,Партизанская,2096
219,"Плеханова, 79",27.610601,53.861591,5534,Партизанская,1973
220,"пр-т Рокоссовского, 57",27.604815,53.867304,4797,Партизанская,1855
221,"пер. Корженевского, 2/а",27.525809,53.844696,6821,Институт Культуры,4694
222,"Корженевского, 15",27.499174,53.84723,7368,Институт Культуры,5089
223,"Партизанский пр-т, 45",27.605858,53.879854,3809,Тракторный завод,1269
224,"пр-т Машерова, 51",27.52871,53.911232,2388,Молодёжная,620
225,"Брикета, 38",27.410546,53.908469,9930,Каменная Горка,1771
226,"Якубовского, 21",27.457357,53.901175,6844,Кунцевщина,575
227,"Глебки, 84",27.475305,53.919023,5964,Спортивная,1242
228,"пл. Победителей, 43/2",27.535052,53.91538,2281,Фрунзенская,1143
229,"Голодеда, 31",27.632223,53.839378,8373,Автозаводская,3444
230,"Глебки, 70",27.474039,53.918588,6028,Спортивная,1223
231,"Каховская, 58",27.557384,53.928811,2963,Площадь Якуба Коласа,2243
232,"Васнецова, 15",27.618596,53.871111,5079,Партизанская,863
233,"Харьковская, 80/1",27.502749,53.897122,3913,Пушкинская,1414
234,"Партизанский пр-т, 72",27.640982,53.871185,6228,Автозаводская,530
235,"Народная,34",27.622,53.873187,5095,Партизанская,555
236,"Д.Сердича, 66",27.489319,53.919643,5126,Пушкинская,1248
237,"Нововиленская, 13/А",27.539625,53.929813,3389,Фрунзенская,2712
238,"В.Хоружей, 33",27.555103,53.92265,2307,Немига,1881
239,"Карастояновой, 27",27.56529,53.936089,3764,Площадь Якуба Коласа,2546
240,"Осипенко, 33",27.557717,53.926711,2729,Площадь Якуба Коласа,2083
241,"Казинца, 122",27.50283,53.840829,7848,Институт Культуры,5595
242,"Харьковская, 58",27.513493,53.900326,3175,Молодёжная,956
243,"пр-д Голодеда, 25",27.616727,53.838501,7946,Автозаводская,3957
244,"Рокоссовского, 147",27.615137,53.854199,6381,Партизанская,2535
245,"Маяковского, 164",27.570886,53.863343,4366,Пролетарская,3180
246,"М.Богдановича, 80",27.574614,53.927172,2890,Площадь Якуба Коласа,1386
247,"Ауэзова, 8",27.644853,53.83721,9047,Могилёвская,3334
248,"Ландера, 28",27.495068,53.840393,8151,Институт Культуры,5878
249,"пр-т Рокоссовского, 116",27.607681,53.856174,5937,Партизанская,2571
250,"Козыревская, 35/1",27.568182,53.862435,4446,Институт Культуры,3196
251,"Ленина, 15",27.561382,53.898814,386,Купаловская,222
252,"пр-т Независимости, 168",27.689266,53.944521,9567,Уручье,156
253,"Фроликова, 41",27.61599,53.899159,3560,Тракторный завод,1010
254,"Скрыганова, 5",27.514679,53.909742,3199,Молодёжная,686
255,"пр-т Независимости, 91",27.610026,53.923774,3955,Парк Челюскинцев,212
256,"П.Панченко, 62",27.554914,53.906077,621,Немига,71
257,"П.Панченко, 78",27.554914,53.906077,621,Немига,71
258,"Мазурова, 18",27.426185,53.896326,8909,Каменная Горка,1358
259,"пр-т Независимости, 183/3",27.69003,53.946811,9738,Уручье,207
260,"Маяковского, 152",27.568371,53.86878,3746,Институт Культуры,2656
261,"Некрасова, 33",27.584046,53.932521,3661,Академия наук,1517
262,"Гуртьева, 12",27.740614,53.958128,13240,Уручье,3733
263,"Я.Купалы,11",27.568443,53.902061,431,Октябрьская,427
264,"Я.Купалы, 11",27.568443,53.902061,431,Октябрьская,427
265,"Могилевская, 4/1",27.5394,53.882741,2622,Институт Культуры,373
266,"Гамарника, 16/а",27.61423,53.957053,6985,Московская,3333
267,"Киселева, 49",27.5629,53.914176,1324,Площадь Победы,976
268,"Берестянская, 2",27.586337,53.904819,1627,Площадь Победы,877
269,"Клумова, 5",27.601806,53.890001,2949,Тракторный завод,821
270,"Чкалова, 9/2",27.536624,53.877327,3228,Институт Культуры,1000
271,"Козлова, 6",27.581881,53.908167,1465,Площадь Победы,450
272,"Восточная, 64",27.600998,53.941787,5083,Парк Челюскинцев,2101
273,"П.Панченко, 64",27.554914,53.906077,621,Немига,71
274,"Гвардейская, 10",27.531782,53.913794,2349,Молодёжная,968
275,"Ландера, 72",27.49187,53.843623,7970,Институт Культуры,5686
276,"Мельникайте, 16",27.545006,53.909604,1372,Фрунзенская,597
277,"Я.Коласа, 52",27.606127,53.937541,4873,Парк Челюскинцев,1543
278,"Сухаревская, 34",27.434351,53.889423,8471,Каменная Горка,1920
279,"Лазо, 10",27.659298,53.869131,7368,Автозаводская,734
280,"пр-т Независимости, 69",27.595859,53.921351,3073,Академия наук,223
281,"Сторожевская, 8",27.555444,53.912951,1259,Немига,808
282,"Парковая, 3/а",27.808553,53.818684,18645,Могилёвская,10040
283,"50 лет Победы, 1-2",27.719135,53.946657,11412,Уручье,2061
284,"Кирова, 19",27.559037,53.897249,589,Купаловская,432
285,"Первомайская, 20/3",27.576896,53.899674,1025,Первомайская,761
286,"Стариновская, 4",27.696668,53.943626,9946,Уручье,626
287,"Городецкая, 2",27.689859,53.951336,9993,Уручье,657
288,"Мирошниченко, 10/1",27.614886,53.958044,7102,Московская,3429
289,"Некрасова, 28",27.585924,53.935156,3979,Академия наук,1685
290,"Лобанка, 89",27.43259,53.884891,8683,Каменная Горка,2433
291,"Матусевича, 11",27.484612,53.914245,5229,Спортивная,706
292,"Сухаревская, 8",27.439382,53.88427,8267,Каменная Горка,2485
293,"Лещинского, 17",27.451168,53.909981,7298,Кунцевщина,485
294,"Радужная, 8/2",27.496299,53.933269,5503,Пушкинская,2650
