N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God
126,Ленинский,60000,11.00209984,1277,2,47,3.850147602,28,3.33220451,7.2,1.974081026,0,0,1974
127,Ленинский,65900,11.09589372,1402,2,47,3.850147602,28,3.33220451,7,1.945910149,0,0,1980
128,Ленинский,62000,11.03488966,1127,2,55,4.007333185,28,3.33220451,9.5,2.251291799,0,0,1978
129,Ленинский,52000,10.858999,1209,2,43,3.761200116,28,3.33220451,6,1.791759469,0,0,1960
130,Московский,62000,11.03488966,1319,2,47,3.850147602,28,3.33220451,7,1.945910149,0,0,1979
131,Московский,72000,11.1844214,1371,2,52.5,3.96081317,28,3.33220451,9.3,2.2300144,1,0,1987
132,Московский,55000,10.91508846,1122,2,49,3.891820298,28,3.33220451,7.5,2.014903021,0,0,1991
133,Октябрьский,54500,10.90595598,1160,2,47,3.850147602,28,3.33220451,7,1.945910149,0,0,1976
134,Первомайский,53000,10.87804719,1205,2,44,3.784189634,28,3.33220451,6,1.791759469,1,0,2010
135,Советский,75000,11.22524339,1531,2,49,3.891820298,28,3.33220451,9,2.197224577,0,1,1977
136,Фрунзенский,70000,11.15625052,1400,2,50,3.912023005,28,3.33220451,10,2.302585093,1,1,1975
138,Центральный,50000,10.81977828,1316,2,38,3.63758616,28,3.33220451,5,1.609437912,1,1,1960
139,Центральный,60000,11.00209984,1364,2,44,3.784189634,28,3.33220451,6,1.791759469,0,0,1964
140,Центральный,57000,10.95080655,1163,2,49,3.891820298,28,3.33220451,6,1.791759469,1,0,1965
141,Центральный,175000,12.07254125,3431,2,51,3.931825633,28,3.33220451,8,2.079441542,0,1,1984
144,Заводской,54500,10.90595598,1173,2,46.47,3.838806943,28.2,3.339321978,7.16,1.968509981,0,0,1979
145,Фрунзенский,73000,11.19821472,1495,2,48.83,3.888344878,28.34,3.344274234,7.2,1.974081026,0,0,1986
146,Заводской,54500,10.90595598,1160,2,47,3.850147602,28.5,3.349904087,7.2,1.974081026,1,0,1980
148,Ленинский,54500,10.90595598,1087,2,50.14,3.914819093,28.56,3.352007137,6.45,1.864080131,1,1,1957
149,Московский,53500,10.88743693,1173,2,45.6,3.819907717,28.6,3.353406718,5.9,1.774952351,0,0,1963
151,Первомайский,54000,10.89673933,1227,2,44,3.784189634,28.6,3.353406718,6.2,1.824549292,0,0,1967
152,Первомайский,54500,10.90595598,1256,2,43.4,3.770459441,28.7,3.356897123,6,1.791759469,1,0,1964
154,Октябрьский,110000,11.60823564,1957,2,56.2,4.028916757,28.9,3.363841595,10,2.302585093,0,0,2000
156,Московский,54000,10.89673933,1256,2,43,3.761200116,29,3.36729583,5.6,1.722766598,0,1,2005
157,Октябрьский,53500,10.88743693,1244,2,43.01,3.761432647,29,3.36729583,6,1.791759469,1,1,1960
158,Партизанский,54900,10.91326863,1274,2,43.1,3.763522997,29,3.36729583,6,1.791759469,0,1,1965
159,Первомайский,63000,11.05089001,1432,2,44,3.784189634,29,3.36729583,6,1.791759469,0,0,1968
160,Первомайский,87000,11.3736634,1445,2,60.2,4.097672352,29,3.36729583,9.5,2.251291799,0,1,2001
161,Фрунзенский,68000,11.12726298,1360,2,50,3.912023005,29,3.36729583,9,2.197224577,0,0,1980
162,Центральный,110000,11.60823564,2000,2,55,4.007333185,29,3.36729583,8.5,2.140066163,0,0,2001
163,Московский,55000,10.91508846,1279,2,43,3.761200116,29.2,3.374168709,6.2,1.824549292,1,0,1960
