N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God,Address,Longitude,Latitude,CenterDistance,Station,StationDistance,LnCenterDistance,LnStationDistance
163,Московский,55000,10.91508846,1279,2,43,3.761200116,29.2,3.374168709,6.2,1.824549292,1,0,1960,"Лермонтова, 20/а",27.517059,53.889523,3259,Институт Культуры,1574,8.089175678837561,7.3613754289773485
164,Ленинский,62800,11.04771035,1256,2,50,3.912023005,29.3,3.377587516,9,2.197224577,0,0,2002,"Прушинских, 46",27.577704,53.835994,7438,Партизанская,5542,8.914357274485015,8.620110725422924
165,Октябрьский,55000,10.91508846,1238,2,44.41,3.793464669,29.3,3.377587516,5.88,1.771556762,0,1,1967,"Аэродромная, 5",27.537711,53.873845,3533,Институт Культуры,1368,8.169902647359145,7.221105098182496
166,Фрунзенский,66000,11.09741002,1320,2,50,3.912023005,29.31,3.377928755,7.14,1.965712776,0,0,1983,"Одинцова, 23/1",27.447287,53.8983,7515,Кунцевщина,970,8.924656302187074,6.877296071497429
167,Октябрьский,55000,10.91508846,1100,2,50,3.912023005,29.4,3.380994674,7.2,1.974081026,0,0,1978,"Брестская, 68/3",27.519287,53.853179,6128,Институт Культуры,3905,8.720623711420426,8.270013062273787
168,Фрунзенский,54900,10.91326863,1009,2,54.4,3.996364154,29.5,3.384390263,8.3,2.116255515,1,0,1978,"Лынькова, 43",27.476761,53.92898,6312,Спортивная,2311,8.750207862525711,7.745435610274381
169,Партизанский,55000,10.91508846,1168,2,47.1,3.852273001,29.6,3.387774361,9.1,2.208274414,1,1,1947,"Щербакова, 24",27.605058,53.886345,3336,Тракторный завод,739,8.112527763478637,6.6052979209482015
170,Московский,55000,10.91508846,1369,2,40.18,3.693369359,29.63,3.388787362,4.77,1.562346305,0,1,1958,"Лермонтова, 24",27.515352,53.89025,3326,Институт Культуры,1702,8.109525659752872,7.43955930913332
171,Советский,79900,11.28853113,1658,2,48.18,3.874943997,29.68,3.390473418,6.59,1.885553349,1,1,1970,"Цнянская, 25",27.584666,53.925969,3026,Академия наук,1033,8.014996894348302,6.940222469119639
172,Ленинский,55000,10.91508846,1242,2,44.3,3.790984677,29.7,3.391147046,5.6,1.722766598,1,1,1959,"Семенова, 26",27.577426,53.870686,3655,Пролетарская,2273,8.203851372183879,7.728855823852543
173,Советский,75400,11.23056255,1300,1,58,4.060443011,29.7,3.391147046,11.4,2.433613355,0,0,2010,М.Богдановича,27.57474,53.929129,3101,Площадь Якуба Коласа,1581,8.03947991910045,7.365812837209472
174,Ленинский,80000,11.28978191,1597,2,50.1,3.914021008,29.8,3.394508394,7.5,2.014903021,0,1,1988,"Рыбалко, 8",27.595635,53.886568,2817,Пролетарская,714,7.943427767876373,6.570882962339584
175,Ленинский,55000,10.91508846,1100,2,50,3.912023005,30,3.401197382,6.7,1.902107526,0,1,1971,"пр-т Рокоссовского, 110",27.606711,53.85738,5789,Партизанская,2499,8.663714844079005,7.823645930834952
176,Московский,58000,10.96819829,1234,2,47,3.850147602,30,3.401197382,7,1.945910149,0,0,1990,"Есенина, 39",27.444331,53.855139,9312,Кунцевщина,5690,9.139059169971219,8.646465527120377
177,Октябрьский,49700,10.81376021,1156,2,43,3.761200116,30,3.401197382,6,1.791759469,0,0,1967,"Серова, 31",27.552803,53.850688,5763,Институт Культуры,4014,8.659213451436667,8.297543529356284
178,Первомайский,57500,10.95954023,1278,2,45,3.80666249,30,3.401197382,6,1.791759469,0,0,1962,"Кнорина, 8/а",27.612541,53.932119,4690,Парк Челюскинцев,871,8.453187861440325,6.769641976852503
179,Первомайский,85000,11.35040654,1574,2,54,3.988984047,30,3.401197382,10,2.302585093,0,1,1996,"Филимонова, 47/а",27.635709,53.923318,5369,Московская,756,8.58839695042257,6.628041376179533
180,Советский,90000,11.40756495,1689,2,53.3,3.975936331,30,3.401197382,9,2.197224577,0,1,1997,"М.Богдановича, 112",27.580327,53.933624,3687,Академия наук,1771,8.212568398234145,7.479299637782834
181,Советский,129000,11.76756768,2179,2,59.2,4.080921542,30,3.401197382,11.9,2.4765384,1,1,2009,"Корш-Саблина, 9",27.59099,53.936015,4206,Академия наук,1633,8.344267356262645,7.398174092970465
182,Фрунзенский,59000,10.98529272,1180,2,50,3.912023005,30,3.401197382,8.4,2.128231706,0,0,1977,"пр-т Пушкина, 85/1",27.500979,53.923063,4607,Пушкинская,1535,8.435332164935916,7.336285660021297
183,Фрунзенский,66000,11.09741002,1320,2,50,3.912023005,30,3.401197382,7.2,1.974081026,0,0,1981,"Бурдейного, 25",27.44744,53.903838,7494,Кунцевщина,506,8.921857979353632,6.226536669287466
184,Фрунзенский,85000,11.35040654,1466,2,58,4.060443011,30,3.401197382,11,2.397895273,0,0,2010,"Притыцкого, 107",27.430156,53.905239,8629,Каменная Горка,499,9.062883902508307,6.212606095751519
185,Центральный,49000,10.79957558,1140,2,43,3.761200116,30,3.401197382,6,1.791759469,1,0,1963,"Осипенко, 27",27.554752,53.926266,2706,Площадь Якуба Коласа,2219,7.903226808730733,7.704811922932594
186,Центральный,148000,11.90496755,2387,3,62,4.127134385,30,3.401197382,18.2,2.901421594,1,1,1954,"Коммунистическая, 16",27.567508,53.911025,1040,Площадь Победы,544,6.946975992135418,6.298949246855942
187,Центральный,53000,10.87804719,1178,2,45,3.80666249,30,3.401197382,5.8,1.757857918,1,1,1965,"бульв. Шевченко, 24",27.556486,53.927968,2877,Площадь Якуба Коласа,2231,7.964503363551548,7.7102051944325325
188,Фрунзенский,65000,11.08214255,1477,2,44,3.784189634,30.3,3.411147713,5.7,1.740466175,0,0,1965,"Берута, 18",27.503809,53.901297,3803,Пушкинская,1000,8.24354550792826,6.907755278982137
189,Московский,55000,10.91508846,1310,2,42,3.737669618,30.5,3.417726684,6.2,1.824549292,0,1,1961,"Р.Люксембург, 97",27.521883,53.891593,2875,Институт Культуры,1357,7.963807953231451,7.213031659834869
190,Первомайский,53000,10.87804719,1152,2,46,3.828641396,30.5,3.417726684,5.6,1.722766598,0,0,1962,"Кедышко, 15/а",27.616772,53.93091,4800,Московская,767,8.476371196895983,6.642486801367256
